TTDTargetID	Target_Name	Indication	ICD9	ICD10
T23547	Opioid receptor	Constipation	564	K59.0
T23547	Opioid receptor	Dry cough; Drug withdrawal syndrome; Ppioid type drug dependence		R05
T23547	Opioid receptor	Hepatitis virus infection	573.3	K75.9
T23547	Opioid receptor	Human immunodeficiency virus infection	279.3	B20-B26
T23547	Opioid receptor	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
T23547	Opioid receptor	Influenza A infection		J10, J11
T23547	Opioid receptor	Moderate to severe pain		R52, G89
T23547	Opioid receptor	Neuropathic pain	356.0, 356.8	G64, G90.0
T23547	Opioid receptor	Opioid addication		F11
T23547	Opioid receptor	Opioid induced adverse effect	304	F11
T23547	Opioid receptor	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
T23547	Opioid receptor	Parkinson's disease	332	G20
T23547	Opioid receptor	Psychotic disorders	290-299	F20-F29
T23666	Aryl hydrocarbon receptor	Multiple myeloma; HIV infections	001-139, 042, 203.0	B20-B24, C90
T23673	Proto-oncogene c-RAF	Autoimmune diabetes		E08-E13
T23673	Proto-oncogene c-RAF	Colorectal cancer	153, 154	C18-C21
T23714	B2 bradykinin receptor	Asthma		J45
T23714	B2 bradykinin receptor	Brain cancer	191, 225.0	C71, D33
T23714	B2 bradykinin receptor	Cancer	140-229	C00-C96
T23714	B2 bradykinin receptor	Hereditary angioedema	277.6	D84.1
T23714	B2 bradykinin receptor	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
T23714	B2 bradykinin receptor	Osteoarthritis	715	M15-M19, M47
T23714	B2 bradykinin receptor	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
T23714	B2 bradykinin receptor	Rhinitis	472.0, 477	J00, J30, J31.0
T23714	B2 bradykinin receptor	Septic shock	785.52	A41.9
T23714	B2 bradykinin receptor	Traumatic brain injury	800.0-801.9, 803.0-804.9, 850.0-854.1	S06
T23714	B2 bradykinin receptor	Unspecified		
T23761	Sarcoplasmic/endoplasmic reticulum calcium ATPase	Malaria		B54
T23787	PFKFB3 kinase	Solid tumours	140-199, 210-229	C00-D48
T23797	Interleukin-33	Asthma		J45
T23953	Prostate stem cell antigen	Metastatic pancreatic cancer	185	C61
T23995	Protein kinase C, theta type	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
T24127	Peptide YY	Obesity	278	E66
T24211	C1 esterase inhibitor	Hereditary angioedema	277.6	D84.1
T24373	Lysosomal acid lipase	Enzyme deficiency		E70-E90
T24555	mRNA of Beta 2 adrenoceptor	Ocular hypertension	365.04	H40.0
T24587	Methylated-DNA--protein-cysteine methyltransferase	Sarcoma	202.8	C81-C86
T24626	Haemophilus influenzae acetylglucosamine deacetylase (LpxC)	Pseudomonas infection		B96.5
T24634	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
T24634	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	Gram-positive bacterial infection	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	
T24836	Vitamin K-dependent protein C	Blood forming organ disorders		D75.9
T24836	Vitamin K-dependent protein C	Cardiovascular disorder		I00-I99
T24836	Vitamin K-dependent protein C	Cerebrovascular ischaemia	434.91	I61-I63
T24836	Vitamin K-dependent protein C	Varicose and spider veins of leg; Hemangioma	454-456, 671	I83, I85, I86, D18.00
T24982	Ileal bile acid transfer	Hyperlipidaemia	272.0-272.4	E78
T24982	Ileal bile acid transfer	Lipid metabolism disorder		E75-E78
T24982	Ileal bile acid transfer	Primary biliary cirrhosis	571.6	K74.3
T24982	Ileal bile acid transfer	Type 2 diabetes	250	E11
T24982	Ileal bile acid transfer	Unspecified		
T24983	D(4) dopamine receptor	Erectile dysfunction	302.72, 607.84	F52.2, N48.4
T24983	D(4) dopamine receptor	Psychotic disorders	290-299	F20-F29
T24983	D(4) dopamine receptor	Schizophrenia	295	F20
T25005	Tyrosine-protein kinase BTK	Autoimmune diabetes		E08-E13
T25005	Tyrosine-protein kinase BTK	B-cell lymphoma	202.8	C85.1
T25005	Tyrosine-protein kinase BTK	Chronic lymphocytic leukaemia		C91
T25005	Tyrosine-protein kinase BTK	Chronic lymphocytic leukaemia; Refractory or relapsed mantle cell lymphoma	200.4	C91, C85.7
T25005	Tyrosine-protein kinase BTK	Rheumatoid arthritis	710-719, 714	M05-M06
T25163	Carbamoyl-phosphate synthetase I	Acute hyperammonaemia	270.6	E72.2
T25163	Carbamoyl-phosphate synthetase I	Varicose veins		I83.10
T25258	Multidrug resistance protein 1	Adrenocortical carcinoma	194	C74.0
T25258	Multidrug resistance protein 1	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
T25258	Multidrug resistance protein 1	Cancer	140-229	C00-C96
T25258	Multidrug resistance protein 1	Non-small cell lung cancer		C33-C34
T25258	Multidrug resistance protein 1	Ovarian cancer	183	C56
T25258	Multidrug resistance protein 1	Solid tumours	140-199, 210-229	C00-D48
T25265	Enhancer of zeste homolog 2	Cancer	140-229	C00-C96
T25265	Enhancer of zeste homolog 2	Solid tumours	140-199, 210-229	C00-D48
T25315	C-X-C chemokine receptor type 3	Autoimmune diabetes		E08-E13
T25315	C-X-C chemokine receptor type 3	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
T25315	C-X-C chemokine receptor type 3	Inflammatory disorder		
T25315	C-X-C chemokine receptor type 3	Psoriatic disorder	696	L40
T25315	C-X-C chemokine receptor type 3	Rheumatoid arthritis	710-719, 714	M05-M06
T25317	Cholestenol delta-isomerase	Rheumatoid arthritis	710-719, 714	M05-M06
T25417	Humanized IgG2	Sickle-cell disease	282.6	D57
T25464	Calcineurin	Atopic dermatitis	691.8, 692.9	L00-L99
T25464	Calcineurin	Kidney diseases; Heart transplantation	996	T86
T25464	Calcineurin	Ocular allergy	360-379	H00-H59
T25464	Calcineurin	Organ transplant rejection	279.5, 996	D89.8, T86
T25464	Calcineurin	Psoriasis	696	L40
T25464	Calcineurin	Xerophthalmia		E50.6-E50.7
T25537	MAP kinase	Keratosis		L57.0
T25608	GPR40	Diabetes	253.5, 588.1	E23.2, N25.1
T25608	GPR40	Non-insulin dependent diabetes		E11.9
T25608	GPR40	Type 2 diabetes	250	E11
T25637	Lysyl oxidase homolog 2	Colorectal cancer; Pancreatic cancer	153, 154, 140-199, 140-229, 157, 210-229	C18-C21, C25
T25663	Adenosine receptor	Cardiac arrhythmias	427	I47-I49
T25663	Adenosine receptor	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
T25663	Adenosine receptor	Cystic fibrosis	277	E84
T25663	Adenosine receptor	Hypertension	401	I10-I16
T25698	Pseudomonas aeruginosa lipopolysaccharide	Hospital-acquired pneumonia; Ventilator-associated pneumonia		J18.9, J95
T25698	Pseudomonas aeruginosa lipopolysaccharide	Pseudomonas aeruginosa infection	001-139	B96.5
T25703	Heme oxygenase	Neonatal hyperbilirubinemia; Jaundice	773, 774, 782.4	P58, P59, R17
T25726	Glypican-3	Hepatocellular carcinoma	155	C22.0
T25739	Zinc transporter ZIP6	Breast cancer	174, 175	C50
T25847	Peptidyl-prolyl cis-trans isomerase B	Dietary shortage	260-269	E40-E46
T25889	Adenylate cyclase	Cardiac failure		I50
T25950	Bone metabolism	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
T26125	Peptidyl transferase	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
T26203	ICAM-1	Hormone refractory prostate cancer	140-229, 185	C61
T26203	ICAM-1	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
T26203	ICAM-1	Multiple myeloma	203	C90
T26203	ICAM-1	Psoriasis	696	L40
T26203	ICAM-1	Unspecified		
T26220	Somatostatin receptor	Acromegaly	253	E22.0
T26220	Somatostatin receptor	Alzheimer disease	331	G30
T26220	Somatostatin receptor	Cognitive disorders	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, F05, R41.3
T26220	Somatostatin receptor	Duodenal ulcers		K25-K27
T26220	Somatostatin receptor	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
T26220	Somatostatin receptor	Melanoma	172	C43
T26220	Somatostatin receptor	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
T26226	Prolactin receptor	Cancer	140-229	C00-C96
T26240	Estramustine binding protein	Prostate cancer	185	C61
T26327	Superoxide anion	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
T26368	Gamma-aminobutyric-acid receptor alpha-5 subunit	Alzheimer disease	331	G30
T26368	Gamma-aminobutyric-acid receptor alpha-5 subunit	Cognitive disorders	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, F05, R41.3
T26428	Melanin-concentrating hormone receptor	Obesity	278	E66
T26463	DNA polymerase alpha catalytic subunit GenePOLA1	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
T26500	Histamine H4 receptor	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
T26500	Histamine H4 receptor	Asthma		J45
T26500	Histamine H4 receptor	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
T26500	Histamine H4 receptor	Rheumatoid arthritis	710-719, 714	M05-M06
T26623	Aldose reductase	Diabetes	253.5, 588.1	E23.2, N25.1
T26623	Aldose reductase	Diabetic cataract		E10.36, E11.36
T26623	Aldose reductase	Diabetic complication		E08-E13
T26623	Aldose reductase	Diabetic neuropathy	250, 250.6, 356.0, 356.8	E11.40
T26623	Aldose reductase	Glaucoma	365	H40-H42
T26623	Aldose reductase	Gout	274.00274.1274.8274.9	M10
T26623	Aldose reductase	Head and neck cancer	140-149, 140-229	C07-C14, C32-C33
T26623	Aldose reductase	Rheumatoid arthritis	710-719, 714	M05-M06
T26851	Complement C3	Advanced indolent non-hodgkin's lymphoma	200, 201, 202, 202.8, 208.9	C81, C81-C86, C82-C85, C91-C95
T26851	Complement C3	Macular degeneration	362.5	H35.3
T26945	Immunoglobulin Fc receptor	Ischemic heart diseases	410-414	I20-I25
T27021	Transferase	Arthritis	710-719	M00-M25
T27021	Transferase	Cancer	140-229	C00-C96
T27021	Transferase	Cerebrovascular ischaemia	434.91	I61-I63
T27106	Potentiating dexamethasone-induced GR transcriptional activity	Cancer	140-229	C00-C96
T27137	Metabotropicglutamate receptor 1	Alzheimer disease; Huntington's disease	331, 294.1, 333.4	G30, F02.2, G10
T27137	Metabotropicglutamate receptor 1	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
T27137	Metabotropicglutamate receptor 1	Neuropathic pain	356.0, 356.8	G64, G90.0
T27137	Metabotropicglutamate receptor 1	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
T27137	Metabotropicglutamate receptor 1	Schizophrenia	295	F20
T27186	Placenta growth factor	Macular degeneration	362.5	H35.3
T27186	Placenta growth factor	Solid tumours	140-199, 210-229	C00-D48
T27198	Methionyl-tRNA synthetase	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
T27265	5-alpha reductase	Acne vulgaris	706.1	L70.0
T27265	5-alpha reductase	Alopecia	704.09	L65.9
T27265	5-alpha reductase	Benign prostatic hyperplasia	600	N40
T27265	5-alpha reductase	Hirsutism	704.1	L68.0
T27265	5-alpha reductase	Prostate cancer	185	C61
T27265	5-alpha reductase	Prostate disease		N42.9
T27288	Gastric emptying	Obesity	278	E66
T27325	DNA topoisomerase I	Cancer	140-229	C00-C96
T27325	DNA topoisomerase I	Colorectal cancer	153, 154	C18-C21
T27325	DNA topoisomerase I	Lung cancer	162	C33-C34
T27325	DNA topoisomerase I	Ovarian cancer	183	C56
T27325	DNA topoisomerase I	Small-cell lung cancer	162.9	C33-C34
T27325	DNA topoisomerase I	Solid tumours	140-199, 210-229	C00-D48
T27376	GABA A receptor delta subunit	Anesthesia	338	R20.0
T27376	GABA A receptor delta subunit	Anxiety disorder	300, 311	F32, F40-F42
T27376	GABA A receptor delta subunit	Epilepsy		G40
T27376	GABA A receptor delta subunit	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
T27376	GABA A receptor delta subunit	Neuropathic pain	356.0, 356.8	G64, G90.0
T27376	GABA A receptor delta subunit	Unspecified		
T27445	Isoleucyl-tRNA synthetase (bacterial)	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
T27602	Trypsin	Asthma		J45
T27602	Trypsin	Blood coagulation disorders		D65-D68
T27602	Trypsin	Hypotension	458, 796.3	I95
T27602	Trypsin	Premature labour	644, 765	O60.1, P07.3
T27602	Trypsin	Unspecified		
T27611	Bone morphogenetic protein-9 ligand	Advanced cancers; Age-related macular degeneration	140-229, 362.50	H35.3
T27736	Programmed cell death ligand 2	Cancer	140-229	C00-C96
T27770	Late sodium current	Ischemic heart diseases	410-414	I20-I25
T27792	Signal transduction	Systemic lupus erythematosus	710	M32
T27812	Sodium-dependent serotonin transporter	Appetite suppressant		
T27812	Sodium-dependent serotonin transporter	Cancer	140-229	C00-C96
T27812	Sodium-dependent serotonin transporter	Chronic low back pain; Neuropathic pain	338, 356.0, 356.8, 724.2, 724.5,780	G64, G90.0, M54, M54.5, R52, G89
T27812	Sodium-dependent serotonin transporter	Depression	311	F30-F39
T27812	Sodium-dependent serotonin transporter	Depression; Attention deficit hyperactivity disorder	311, 314.00, 314.01	F30-F39, F90
T27812	Sodium-dependent serotonin transporter	Depression; Chronic pain	311, 338,780	F30-F39, R52, G89
T27812	Sodium-dependent serotonin transporter	Depressive disorders; Neuropathic pain	296, 710.0, 356.0, 356.8	F30-F39, M32, G64, G90.0
T27812	Sodium-dependent serotonin transporter	Fibromyalgia	729.1	M79.7
T27812	Sodium-dependent serotonin transporter	Fibromyalgia; Myalgia; Chemotherapyinduced emesis	729.1, 787	M79.1, M79.7, R11
T27812	Sodium-dependent serotonin transporter	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
T27812	Sodium-dependent serotonin transporter	Major depression	296.2, 296.3	F32, F33
T27812	Sodium-dependent serotonin transporter	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
T27812	Sodium-dependent serotonin transporter	Major depressive disorder; Menopausal staging; Vasomotor symptoms	296, 296.2, 296.3, 627.2	F30-F39, F32, F33, N95.0, N95.1
T27812	Sodium-dependent serotonin transporter	Migraine; Obisity	278, 346	E66, G43
T27812	Sodium-dependent serotonin transporter	Mood disorder		F30-F39
T27812	Sodium-dependent serotonin transporter	Obesity	278	E66
T27812	Sodium-dependent serotonin transporter	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
T27812	Sodium-dependent serotonin transporter	Parkinson's disease	332	G20
T27812	Sodium-dependent serotonin transporter	Premature ejaculation	302.75	F52.4
T27812	Sodium-dependent serotonin transporter	Schizophrenia	295	F20
T27812	Sodium-dependent serotonin transporter	Smoking cessation	292	F17.2
T27826	SPTBN1	Cancer	140-229	C00-C96
T27861	Pleiotropic pathway	Solid tumours	140-199, 210-229	C00-D48
T27889	Recombinant human angiotensin converting enzyme 2	Acute lung injury	518	J80
T27889	Recombinant human angiotensin converting enzyme 2	Diabetes	253.5, 588.1	E23.2, N25.1
T27889	Recombinant human angiotensin converting enzyme 2	Type 2 diabetes	250	E11
T27918	Probable ATP-dependent RNA helicase DDX5	Late-stage solid tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
T27944	Neuropeptide Y receptor type 4	Diabetes	253.5, 588.1	E23.2, N25.1
T27944	Neuropeptide Y receptor type 4	Obesity	278	E66
T27944	Neuropeptide Y receptor type 4	Schizophrenia	295	F20
T27999	Protective antigen	Anthrax	22	A00-B99
T27999	Protective antigen	Bacillus anthracis infection		A22
T27999	Protective antigen	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
T28076	Fibroblast growth factor-4	Angina pectoris	413	I20
T28076	Fibroblast growth factor-4	Heart disease	390-429	I00-I52
T28076	Fibroblast growth factor-4	Interstitial cystitis; Painful bladder syndrome	595.1,338,780	N30.1, G89, R52
T28140	Phospholipids in bacterial cell membrane	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
T28213	Free fatty acid receptor 2	Abortion	779.6	O04
T28213	Free fatty acid receptor 2	Diabetes	253.5, 588.1	E23.2, N25.1
T28265	Alpha-1-antitrypsin	Alpha-1 antitrypsin deficiency	273.4	E88.0
T28265	Alpha-1-antitrypsin	Chronic obstructive pulmonary disease; Cystic fibrosis	277.0, 460-519, 490-492, 494-496, 709.2	E84, J00-J99, J40-J44, J47, L90.5
T28265	Alpha-1-antitrypsin	Emphysema	492	J43
T28265	Alpha-1-antitrypsin	Unspecified		
T28330	Cholecystokinin receptor type A	Bladder disease		N30-N32
T28330	Cholecystokinin receptor type A	Dyspepsia	536.8	K30
T28330	Cholecystokinin receptor type A	Eating disorder	278, 307.5, 401, 428.0	E66, F50, I10-I16, I50
T28330	Cholecystokinin receptor type A	Gallstone prophylaxis; Obesity	278	E66
T28330	Cholecystokinin receptor type A	Gastrointestinal disease		K00-K93
T28330	Cholecystokinin receptor type A	Obesity	278	E66
T28330	Cholecystokinin receptor type A	Obesity; Eating disorders	278, 307.5	E66, F50
T28330	Cholecystokinin receptor type A	Pancreatic cancer; Obesity	140-229, 157, 278	C25, E66
T28330	Cholecystokinin receptor type A	Pancreatic disease		K85-K86
T28413	Epha3 tyrosine kinase receptor	Hematological malignancies	200-209	C81-C86
T28484	Kinesin-like protein KIF11	Acute myeloid leukemia	205	C92.0
T28484	Kinesin-like protein KIF11	Cancer	140-229	C00-C96
T28484	Kinesin-like protein KIF11	Head and neck cancer; Renal cell carcinoma; Ovarian cancer; Solid tumors	140-149, 140-199, 140-229, 183, 189, 210-229	C07-C14, C32-C33, C56, C64, D10-D36, D3A
T28484	Kinesin-like protein KIF11	Hematological malignancies	200-209	C81-C86
T28484	Kinesin-like protein KIF11	Lymphoma	202.8, 208.9	C81-C86
T28484	Kinesin-like protein KIF11	Solid tumours	140-199, 210-229	C00-D48
T28532	Ribonuclease P	Psoriasis	696	L40
T28658	Food vacuoles	Malaria		B54
T28661	Tubulin beta-2 chain	Cancer	140-229	C00-C96
T28692	Lipoprotein lipase	Blood forming organ disorders		D75.9
T28692	Lipoprotein lipase	Dysbetalipoproteinemia	272.2	E78.2
T28692	Lipoprotein lipase	Hyperlipidaemia	272.0-272.4	E78
T28713	Serine/threonine-protein kinase Chk2	Cancer	140-229	C00-C96
T28713	Serine/threonine-protein kinase Chk2	Solid tumours	140-199, 210-229	C00-D48
T28717	TNF superfamily receptor 12A	Solid tumours	140-199, 210-229	C00-D48
T28722	GABA A receptor	Alzheimer disease	331	G30
T28722	GABA A receptor	Anesthesia	338	R20.0
T28722	GABA A receptor	Anxiety disorder	300, 311	F32, F40-F42
T28722	GABA A receptor	Anxiolytic and sedative		F40-F42
T28722	GABA A receptor	Epilepsy		G40
T28722	GABA A receptor	Epileptic seizures	345.9, 780.3	G40, P90, R56
T28722	GABA A receptor	General anesthesia	338	R20.0
T28722	GABA A receptor	Generalized anxiety disorder	300, 300.02, 311	F32, F40-F42, F41.1
T28722	GABA A receptor	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
T28722	GABA A receptor	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
T28722	GABA A receptor	Neurodegenerative disease	330-337	G30-G32
T28722	GABA A receptor	Neuropathic pain	356.0, 356.8	G64, G90.0
T28722	GABA A receptor	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
T28722	GABA A receptor	Panic disorder	300.01, 300.21	F41.0
T28722	GABA A receptor	Premenstrual syndrome		N94.3
T28722	GABA A receptor	Sedation	338	R52, G89
T28722	GABA A receptor	Stroke	434.91, 437.6, 453, 671.5, 671.9	I61-I63, I80-I82
T28722	GABA A receptor	Unspecified		
T28869	Urease	Urinary tract infections	599	N39.0
T28887	Histone Deacetylase 8	Cancer	140-229	C00-C96
T28893	Muscarinic acetylcholine receptor M1	Abdominal stomach pain; Irritable bowel syndrome	789.0, 338, 780, 564.1, 787.91	R10, G89, R52, A09, K58, K59.1
T28893	Muscarinic acetylcholine receptor M1	Alzheimer disease	331	G30
T28893	Muscarinic acetylcholine receptor M1	Anesthesia	338	R20.0
T28893	Muscarinic acetylcholine receptor M1	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
T28893	Muscarinic acetylcholine receptor M1	Cognitive disorders	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, F05, R41.3
T28893	Muscarinic acetylcholine receptor M1	Excessive sweating; Stomach ulcer	780.8	R61, K25-K27
T28893	Muscarinic acetylcholine receptor M1	Functional bowel syndrome; Irritable bowel syndrome		K58
T28893	Muscarinic acetylcholine receptor M1	Glaucoma	365	H40-H42
T28893	Muscarinic acetylcholine receptor M1	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
T28893	Muscarinic acetylcholine receptor M1	Neuropathic pain	356.0, 356.8	G64, G90.0
T28893	Muscarinic acetylcholine receptor M1	Overactive bladder disorder	188, 596.51	C67, N32.81
T28893	Muscarinic acetylcholine receptor M1	Parkinson's disease	332	G20
T28893	Muscarinic acetylcholine receptor M1	Parkinson's disease; Dystonia	332	G20, G24
T28893	Muscarinic acetylcholine receptor M1	Parkinsonism; Extrapyramidal disorders secondary to neuroleptic drug therapy		F06
T28893	Muscarinic acetylcholine receptor M1	Peptic ulcer	531-534	K25-K27
T28893	Muscarinic acetylcholine receptor M1	Schizophrenia	295	F20
T28893	Muscarinic acetylcholine receptor M1	Schizophrenia; Dementia	290-294, 295	F01-F07, F20
T28893	Muscarinic acetylcholine receptor M1	Schizophrenia; Schizoaffective disorders	295, 295.70	F20, F25
T28893	Muscarinic acetylcholine receptor M1	Unspecified		
T28893	Muscarinic acetylcholine receptor M1	Urinary incontinence	788.3	N39.3, N39.4, R32
T28893	Muscarinic acetylcholine receptor M1	Visceral spasms		R25.2
T28916	AP endonuclease APE1	Melanoma; Glioma	172, 191	C43, C71
T28925	Inosine monophosphate dehydrogenase	Cancer	140-229	C00-C96
T28925	Inosine monophosphate dehydrogenase	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
T28925	Inosine monophosphate dehydrogenase	Inflammatory bowel disease	555, 556	K50, K51
T28925	Inosine monophosphate dehydrogenase	Transplant rejection	279.5, 996	D89.8, T86
T28993	Iduronate 2-sulfatase	Hunter syndrome		E76.1
T28993	Iduronate 2-sulfatase	Hunter syndrome; Infertility	628	E76.1, N97.0
T28998	Gonadotropin-releasing hormone	Prostate cancer	185	C61
T28998	Gonadotropin-releasing hormone	Solid tumours	140-199, 210-229	C00-D48
T29024	mRNA of copper zinc superoxide dismutase 1	Amyotrophic lateral sclerosis	335.2	G12.2
T29024	mRNA of copper zinc superoxide dismutase 1	Motor neurone disease	335.2	G12.2
T29064	Angiogenesis and myeloma cell growth	Systemic sclerosis	710.1	M34
T29075	HIV DNA polymerase	Human immunodeficiency virus infection	279.3	B20-B26
T29130	Signal transducer and activator of transcription 3	Hepatocellular carcinoma	155	C22.0
T29130	Signal transducer and activator of transcription 3	Multiple myeloma	203	C90
T29130	Signal transducer and activator of transcription 3	Psoriasis	696	L40
T29130	Signal transducer and activator of transcription 3	Solid tumours	140-199, 210-229	C00-D48
T29143	Interleukin-13	Allergic asthma	493, 995.3	J45, T78.4
T29143	Interleukin-13	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
T29143	Interleukin-13	Allergy	995.3	T78.4
T29143	Interleukin-13	Asthma; Atopic eczema		J45, L20-L30
T29143	Interleukin-13	Asthma; Chronic obstructive pulmonary disease	490-492, 493, 494-496	J40-J44, J47, J45
T29143	Interleukin-13	Asthma; Ulcerative colitis		J45, K51
T29143	Interleukin-13	Idiopathic pulmonary fibrosis	516.3	J84.1
T29143	Interleukin-13	Severe asthma	493	J45
T29144	Arginase	Cancer	140-229	C00-C96
T29303	Sodium channel	Anesthesia	338	R20.0
T29303	Sodium channel	Bipolar disorder	296.0, 296.1, 296.4, 296.5, 296.6, 296.7, 296.8, 300	F31, F40-F42
T29303	Sodium channel	Cardiac arrhythmias	427	I47-I49
T29303	Sodium channel	Cardiac failure		I50
T29303	Sodium channel	Cardiovascular disorder		I00-I99
T29303	Sodium channel	Cerebral infarction		I63
T29303	Sodium channel	Cerebrovascular ischaemia	434.91	I61-I63
T29303	Sodium channel	Cough	786.2	R05
T29303	Sodium channel	Cystic fibrosis	277	E84
T29303	Sodium channel	Diabetes	253.5, 588.1	E23.2, N25.1
T29303	Sodium channel	Epilepsy		G40
T29303	Sodium channel	Epilepsy; Focal; Seizure disorder	345, 345.4, 345.5, 345.9, 780.3	G40, G40.2, P90, R56
T29303	Sodium channel	Epileptic seizures	345.9, 780.3	G40, P90, R56
T29303	Sodium channel	Gastric cancer	151	C16
T29303	Sodium channel	Heart arrhythmia		I47-I49
T29303	Sodium channel	Infections with sarcoptes scabiei	133	B86
T29303	Sodium channel	Ischemia	459.89	I99.8
T29303	Sodium channel	Local or regional analgesia and anesthesia		R20.0
T29303	Sodium channel	Migraine	346	G43
T29303	Sodium channel	Nerve injury		T14.4
T29303	Sodium channel	Neuropathic pain	356.0, 356.8	G64, G90.0
T29303	Sodium channel	Osteoarthritis	715	M15-M19, M47
T29303	Sodium channel	Overactive bladder disorder	188, 596.51	C67, N32.81
T29303	Sodium channel	Oxytocic		O00-O99
T29303	Sodium channel	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
T29303	Sodium channel	Parkinson's disease	332	G20
T29303	Sodium channel	Peripheral neuropathy		G64
T29303	Sodium channel	Schizophrenia	295	F20
T29303	Sodium channel	Seizures	345.9, 780.3	G40, P90, R56
T29303	Sodium channel	Seizures associated with lennox-Gastaut syndrome		R56.9
T29303	Sodium channel	Seizures occurring during or following neurosurgery		G40
T29303	Sodium channel	Spasm	728.85	R25.2
T29303	Sodium channel	Type 1 diabetes	250	E10
T29500	Alpha-1B adrenergic receptor	Attention deficit hyperactivity disorder	314	F90
T29500	Alpha-1B adrenergic receptor	Exogenous obesity		E66
T29500	Alpha-1B adrenergic receptor	Hypertension	401	I10-I16
T29500	Alpha-1B adrenergic receptor	Psychiatric disorder	290-319	F01-F99
T29525	HIV replication earlyphase	Acquired immune deficiency syndrome	42	B20
T29592	50S ribosomal subunit	Acne vulgaris	706.1	L70.0
T29592	50S ribosomal subunit	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
T29592	50S ribosomal subunit	Gram-positive bacterial infection	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	
T29592	50S ribosomal subunit	Impetigo	684	L01
T29649	Leukotriene receptor	Allergy	995.3	T78.4
T29649	Leukotriene receptor	Asthma		J45
T29649	Leukotriene receptor	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
T29649	Leukotriene receptor	Cardiotonic		I50
T29649	Leukotriene receptor	Inflammation		E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, G89
T29683	Nigral tachykinin NK(3) receptor	Asthma		J45
T29683	Nigral tachykinin NK(3) receptor	Central nervous system disease		G00-G99
